Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,2.1333,7.93507,3.38408,0.990959
0.15,1.74167,5.21004,2.17664,0.988293
0.2,1.38255,3.06348,1.15204,0.986662
0.25,1.20511,1.97796,0.525675,0.98506
0.3,1.11241,1.46915,0.231692,0.983092
0.35,1.06725,1.26857,0.129554,0.981851
0.4,1.01271,1.07043,0.0448573,0.980872
0.45,1.00453,1.0198,0.0107193,0.979189
0.5,1,1,3.38618e-14,0.977934
0.55,1.00226,1.01383,0.00930536,0.976729
0.6,1.01188,1.05918,0.0352837,0.975545
0.65,1.02521,1.12572,0.0746524,0.974695
0.7,1.0543,1.23046,0.118921,0.973797
0.75,1.09349,1.35966,0.163931,0.973363
0.8,1.10803,1.46847,0.240731,0.972107
0.85,1.1111,1.56808,0.333547,0.970729
