Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,15.1978,269.488,38.5139,0.992926
0.15,10.6847,135.72,21.5562,0.991242
0.2,7.08101,57.5702,7.42951,0.991133
0.25,5.91039,40.9446,6.01193,0.989975
0.3,4.72982,30.0867,7.71545,0.988814
0.35,5.0359,37.1251,11.7647,0.98793
0.4,5.31422,35.3131,7.07213,0.987134
0.45,5.13641,36.4357,10.0531,0.9858
0.5,5.26173,34.7745,7.08872,0.986345
0.55,4.15541,38.0576,20.7901,0.985079
0.6,5.32618,40.9309,12.5627,0.98397
0.65,5.53681,48.735,18.0787,0.983988
0.7,4.83495,50.8798,27.5031,0.983123
0.75,5.8306,55.5991,21.6033,0.982454
0.8,5.6051,62.5327,31.1155,0.982098
0.85,5.87748,62.4603,27.9155,0.981805
