Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,211.602,45893.8,1118.19,0.990638
0.15,177.688,32778,1205.15,0.988815
0.2,94.6518,10199.8,1240.81,0.986651
0.25,106.157,12442,1172.76,0.985007
0.3,85.4044,9339.69,2045.79,0.983065
0.35,103.154,11634.1,993.297,0.981423
0.4,99.8944,11310.5,1331.61,0.979993
0.45,90.1758,9508.6,1376.93,0.979939
0.5,94.396,10098,1187.42,0.978162
0.55,93.5085,10912.2,2168.4,0.977941
0.6,25.8512,12288.8,11620.5,0.975678
0.65,23.9052,13594.6,13023.2,0.974705
0.7,-7.77927,12902.3,12841.7,0.973606
0.75,72.5696,17564.6,12298.2,0.972688
0.8,46.3387,21728,19580.7,0.972001
0.85,44.1339,22435.9,20488.1,0.971572
