Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,762.137,634111,53257.6,0.992734
0.15,728.689,560580,29592.3,0.989842
0.2,695.009,497302,14264.1,0.987658
0.25,720.418,529808,10805.5,0.984947
0.3,731.857,541754,6139.42,0.982146
0.35,726.82,530638,2370.32,0.980505
0.4,728.036,530775,739.001,0.978669
0.45,737.898,544695,201.311,0.976929
0.5,750,562500,0,0.975605
0.55,763.716,583384,122.159,0.973307
0.6,781.627,611258,317.039,0.972452
0.65,801.484,643137,759.973,0.970722
0.7,818.924,671512,875.436,0.968887
0.75,850.232,723965,1070.57,0.968597
0.8,871.175,760443,1498.29,0.96629
0.85,899.63,811536,2201.08,0.965465
