Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,1.42829,5.66702,3.627,0.993205
0.15,0.845007,1.71327,0.999237,0.992518
0.2,0.683596,0.966315,0.499011,0.991328
0.25,0.602262,0.613199,0.250479,0.99036
0.3,0.568205,0.446016,0.123159,0.988808
0.35,0.540602,0.365703,0.0734521,0.987798
0.4,0.51023,0.28532,0.0249856,0.987449
0.45,0.50769,0.26402,0.00627105,0.985672
0.5,0.5,0.25,0,0.984864
0.55,0.501881,0.256445,0.00456018,0.985008
0.6,0.509233,0.275079,0.015761,0.984354
0.65,0.502379,0.296352,0.0439673,0.982846
0.7,0.524913,0.333645,0.0581107,0.982878
0.75,0.540449,0.376422,0.0843372,0.982516
0.8,0.533073,0.440071,0.155905,0.9813
0.85,0.553001,0.484604,0.178795,0.981051
