Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,323.781,109996,5161.56,0.989003
0.15,237.356,57411.5,1073.59,0.986491
0.2,212.767,45662.5,392.555,0.982713
0.25,160.219,27124.4,1454.16,0.981642
0.3,172.509,30105.3,346.047,0.979513
0.35,171.983,30544.7,966.701,0.9771
0.4,98.9659,13747.3,3953.07,0.975707
0.45,152.708,24812.2,1492.54,0.975168
0.5,138.14,21197.9,2115.16,0.973495
0.55,90.7556,19536.8,11300.2,0.97185
0.6,84.86,15136.3,7935.1,0.970502
0.65,124.514,21982.3,6478.47,0.96922
0.7,141.589,25128.9,5081.38,0.967897
0.75,154.072,33640.8,9902.54,0.967281
0.8,99.1867,31472,21634,0.964996
0.85,200.056,44097.9,4075.37,0.964548
