Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,264.117,75988,6230.01,0.996191
0.15,228.744,57075.4,4751.6,0.994955
0.2,204.443,42919.1,1122.02,0.99351
0.25,170.249,33278.1,4293.54,0.992437
0.3,280.647,80184.6,1421.92,0.991036
0.35,267.29,72816.5,1372.3,0.990149
0.4,249.64,69034.4,6714.15,0.98915
0.45,298.706,91238,2012.91,0.98839
0.5,270.429,80645.7,7513.81,0.987172
0.55,266.707,80621.2,9488.41,0.986669
0.6,334.326,116041,4266.88,0.985311
0.65,317.492,106075,5273.92,0.985099
0.7,275.142,117083,41380,0.983889
0.75,316.066,127010,27112.6,0.983233
0.8,375.859,152951,11681.4,0.983302
0.85,52.9231,146751,143950,0.982585
