Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,2.65556,13.2042,6.1522,0.990247
0.15,1.86387,5.8121,2.33811,0.987714
0.2,1.51492,3.50112,1.20614,0.985528
0.25,1.19849,1.97476,0.538375,0.985217
0.3,1.13376,1.54573,0.26031,0.983137
0.35,1.07197,1.29253,0.143412,0.981644
0.4,1.03366,1.12985,0.0613891,0.980057
0.45,1.00996,1.03245,0.0124315,0.978953
0.5,1,1,0,0.978501
0.55,1.00198,1.01391,0.00994611,0.976968
0.6,1.00601,1.05148,0.0394228,0.975606
0.65,1.02567,1.12253,0.0705305,0.974715
0.7,1.03793,1.20747,0.130179,0.973481
0.75,1.07028,1.34046,0.194954,0.972896
0.8,1.10067,1.43993,0.22846,0.971676
0.85,1.11274,1.61065,0.372455,0.970787
