Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,37.9561,1569.45,128.789,0.987792
0.15,23.3936,584.581,37.3224,0.985755
0.2,15.8999,277.103,24.2953,0.984874
0.25,13.1925,192.478,18.4361,0.983504
0.3,12.3622,162.787,9.96249,0.982547
0.35,11.5183,142.689,10.0171,0.98073
0.4,10.7017,126.315,11.7896,0.980612
0.45,10.734,130.071,14.8533,0.978836
0.5,9.61715,110.893,18.4036,0.978223
0.55,10.4408,134.458,25.4474,0.976505
0.6,10.0236,144.697,44.2247,0.975456
0.65,10.1992,140.644,36.6194,0.974762
0.7,11.1865,164.587,39.4487,0.973489
0.75,11.7039,178.166,41.185,0.972947
0.8,10.8661,180.397,62.3263,0.971687
0.85,10.9601,186.527,66.4033,0.971293
