Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,1.36159,5.60624,3.75232,0.993485
0.15,0.984989,2.38867,1.41847,0.991772
0.2,0.757323,1.22979,0.656255,0.990657
0.25,0.649526,0.704295,0.282411,0.989475
0.3,0.576201,0.479242,0.147235,0.988696
0.35,0.526885,0.33634,0.0587317,0.988115
0.4,0.512756,0.288482,0.0255642,0.987147
0.45,0.507756,0.264153,0.00633719,0.985785
0.5,0.5,0.25,3.33067e-15,0.985466
0.55,0.500396,0.255257,0.004861,0.984832
0.6,0.504897,0.274124,0.0192039,0.984106
0.65,0.515473,0.301739,0.0360262,0.983514
0.7,0.537109,0.340203,0.051717,0.98338
0.75,0.53594,0.381606,0.0943744,0.982168
0.8,0.531692,0.417762,0.135066,0.980797
0.85,0.579165,0.475807,0.140375,0.981471
