Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,4.13897,17.1331,0.00204189,1
0.15,5.90026,34.8257,0.0126232,1
0.2,7.14993,51.1259,0.00445158,1
0.25,8.35067,69.7342,0.000475295,1
0.3,9.52054,90.6411,0.000359637,1
0.35,11.0905,122.999,0.000374063,1
0.4,12.4054,153.893,0.000484307,1
0.45,13.7944,190.287,0.000430417,1
0.5,15,225,5.68434e-14,1
0.55,16.3456,267.177,3.20986e-05,1
0.6,17.5171,306.848,0.00066504,1
0.65,18.6484,347.765,0.000868473,1
0.7,19.8125,392.54,0.00349384,1
0.75,21.0622,443.62,0.0027408,1
0.8,21.1406,447.024,0.0977927,1
0.85,22.9288,525.776,0.0442964,1
