Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,515.657,291474,25571.8,0.994313
0.15,477.539,250304,22260.6,0.991886
0.2,500.556,258638,8081.84,0.990047
0.25,480.107,239351,8848.63,0.988116
0.3,491.293,248611,7242.13,0.986331
0.35,528.921,282320,2562.49,0.983967
0.4,362.405,168747,37409.7,0.983184
0.45,286.253,155329,73387.6,0.981698
0.5,-77.3493,289352,283369,0.979825
0.55,361.492,158546,27869.8,0.97942
0.6,352.193,169038,44997.7,0.977802
0.65,631.023,435228,37037.6,0.976528
0.7,726.31,543888,16362.3,0.97567
0.75,764.81,597176,12242.8,0.973941
0.8,587.133,456562,111837,0.974286
0.85,802.612,673371,29185.1,0.973083
