Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,750.319,607787,44808.3,0.993015
0.15,707.544,529047,28428.5,0.990188
0.2,743.818,578153,24887.6,0.98715
0.25,649.855,435054,12743.3,0.984826
0.3,543.701,301808,6197.57,0.982572
0.35,188.655,73167.9,37577.3,0.980649
0.4,823.921,706414,27568.6,0.979213
0.45,876.054,774003,6531.59,0.977173
0.5,930.114,870400,5286.8,0.975526
0.55,872.309,778985,18062.4,0.973702
0.6,670.614,551653,101931,0.972169
0.65,614.073,443911,66825.6,0.969526
0.7,860.091,876208,136452,0.969153
0.75,814.029,826423,163780,0.96854
0.8,1092.8,1.22122e+06,27008.6,0.96771
0.85,958.811,1.037e+06,117685,0.965757
