Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,209.606,45727.7,1793.05,0.991351
0.15,173.26,30545.8,526.886,0.988531
0.2,133.889,18243.8,317.414,0.987044
0.25,122.884,15206.3,105.679,0.984812
0.3,115.213,13298.6,24.5989,0.9827
0.35,102.228,10457.8,7.2872,0.983026
0.4,104.387,10902.5,5.84345,0.979627
0.45,100.951,10192.4,1.20261,0.978712
0.5,100,10000,0,0.978227
0.55,100.009,10002.5,0.637186,0.976498
0.6,101.873,10381.6,3.53344,0.976206
0.65,103.305,10681.4,9.54049,0.975355
0.7,103.033,10635.4,19.6634,0.973736
0.75,108.506,11784,10.5129,0.973271
0.8,109.507,12011.3,19.5513,0.971902
0.85,115.312,13332.2,35.3116,0.971853
