Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,300.726,94360,3923.7,0.989496
0.15,261.59,69472.3,1042.81,0.985142
0.2,207.624,44117.8,1010.01,0.983291
0.25,192.013,37253.2,384.293,0.980352
0.3,174.649,30527.2,25.0675,0.978525
0.35,159.191,25374.4,32.638,0.977197
0.4,155.26,24124.9,19.2927,0.974978
0.45,149.894,22468.9,0.795411,0.974938
0.5,150,22500,0,0.972416
0.55,150.451,22636.6,0.97265,0.9708
0.6,153.29,23502.4,4.49818,0.970777
0.65,152.975,23409.9,8.65815,0.967855
0.7,158.634,25182.2,17.3399,0.967557
0.75,164.248,27007.3,29.7606,0.967195
0.8,164.217,27000,32.7149,0.964832
0.85,175.691,30903.7,36.4397,0.965378
