Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,106.11,11738.5,479.25,0.994368
0.15,83.7866,7173.53,153.343,0.992577
0.2,74.9135,5666.21,54.1804,0.990691
0.25,58.3891,3438.9,29.6112,0.990425
0.3,53.5956,2884.08,11.5916,0.989551
0.35,52.6853,2784.3,8.55693,0.988335
0.4,50.4086,2541.9,0.879406,0.987766
0.45,50.2518,2526.22,0.980244,0.986697
0.5,50,2500,0,0.985636
0.55,50.3883,2539.2,0.218328,0.985604
0.6,50.2611,2527.95,1.77566,0.983636
0.65,51.9471,2701.14,2.63428,0.983931
0.7,53.0274,2816.29,4.38382,0.983353
0.75,53.6049,2882.48,8.99151,0.982509
0.8,55.7647,3122.28,12.5721,0.98224
0.85,56.7689,3238.31,15.5967,0.981137
