Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,11.4322,149.83,19.1349,0.994004
0.15,8.90888,92.6445,13.2763,0.992124
0.2,7.66102,63.5619,4.87072,0.99054
0.25,6.11685,40.1966,2.78068,0.990141
0.3,5.96908,37.1824,1.55247,0.988167
0.35,5.42361,30.0386,0.623049,0.987627
0.4,5.07993,25.9998,0.194187,0.987507
0.45,5.03557,25.4266,0.0696569,0.986245
0.5,5,25,0,0.986024
0.55,5.01507,25.2086,0.0577036,0.984857
0.6,5.12331,26.3945,0.146113,0.984598
0.65,5.22142,27.5897,0.326474,0.983604
0.7,5.26255,28.2065,0.51203,0.983088
0.75,5.43715,30.4731,0.910527,0.982519
0.8,5.58226,32.4738,1.31216,0.982285
0.85,5.63041,33.251,1.54955,0.981285
