Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,95.5636,9432.52,300.115,0.994605
0.15,78.7113,6643.34,447.878,0.992544
0.2,82.9201,6977.73,101.978,0.990769
0.25,67.0482,4574.56,79.0903,0.98963
0.3,59.5651,3770.9,222.901,0.989272
0.35,54.2364,3494.87,553.284,0.988403
0.4,56.9111,3604.03,365.16,0.987607
0.45,54.6695,3379.64,390.882,0.987665
0.5,13.5075,2881.01,2698.56,0.985928
0.55,50.9643,3501.5,904.14,0.985307
0.6,26.4521,4217.49,3517.78,0.984207
0.65,56.4894,4785.99,1594.94,0.984129
0.7,48.9789,5735.37,3336.44,0.983396
0.75,70.5445,5938.25,961.717,0.982654
0.8,42.4502,7776.99,5974.98,0.982741
0.85,68.3942,7698.64,3020.87,0.981357
