Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,4.06236,25.9431,9.44032,0.987055
0.15,2.7769,11.1952,3.48402,0.984651
0.2,2.20315,6.58096,1.72707,0.982256
0.25,1.79271,3.8929,0.67908,0.981342
0.3,1.74201,3.49889,0.464308,0.978246
0.35,1.60833,2.80675,0.220025,0.976433
0.4,1.55549,2.50212,0.0825782,0.974752
0.45,1.50735,2.28851,0.0164014,0.973834
0.5,1.5,2.25,2.58016e-13,0.97264
0.55,1.51595,2.3096,0.0114859,0.97214
0.6,1.51876,2.35785,0.0512184,0.969363
0.65,1.55503,2.528,0.109883,0.96887
0.7,1.57477,2.65863,0.178722,0.967235
0.75,1.63808,2.92841,0.245089,0.966884
0.8,1.65192,3.0921,0.363243,0.964515
0.85,1.7083,3.39623,0.477931,0.964192
