Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,4.23903,28.3764,10.4071,0.987138
0.15,2.77462,11.7159,4.01739,0.984737
0.2,2.16088,5.9989,1.32952,0.982649
0.25,1.86625,4.44535,0.962465,0.981063
0.3,1.71579,3.38718,0.443255,0.978587
0.35,1.60751,2.80031,0.21621,0.976907
0.4,1.51887,2.37906,0.0721028,0.976305
0.45,1.50556,2.28303,0.0163157,0.97423
0.5,1.5,2.25,0,0.972471
0.55,1.50305,2.27295,0.0137803,0.970825
0.6,1.52443,2.37245,0.0485748,0.96985
0.65,1.54584,2.49301,0.103372,0.968803
0.7,1.54752,2.60886,0.21405,0.966635
0.75,1.59129,2.82302,0.29082,0.965942
0.8,1.66456,3.11665,0.345889,0.965331
0.85,1.67982,3.34993,0.528156,0.963706
