Alpha,Energy,Energy2,Variance,AcceptRatio
0.1,42.3114,1896.2,105.944,0.986906
0.15,26.3128,755.387,63.0213,0.984811
0.2,18.1861,347.54,16.8061,0.983736
0.25,13.9139,200.539,6.94386,0.983041
0.3,12.7973,168.254,4.48316,0.98063
0.35,11.0204,122.681,1.23218,0.980586
0.4,10.6431,113.857,0.581974,0.978548
0.45,10.2796,105.821,0.150754,0.977127
0.5,10,100,0,0.976222
0.55,9.87398,97.6303,0.134835,0.975409
0.6,9.96694,99.7733,0.43346,0.974773
0.65,10.2227,105.295,0.790915,0.974324
0.7,10.2478,106.337,1.32048,0.972657
0.75,10.4212,110.292,1.69012,0.971582
0.8,11.0389,124.91,3.05286,0.972116
0.85,10.8161,120.665,3.67812,0.97003
