Alpha,Energy,Energy2,Variance,AcceptRatio,ElapsedTimeMS
0.2,14.4807,220.616,10.9264,0.0571079,5107
0.3,10.8469,119.599,1.94298,0.0185251,5107
0.4,10.1718,103.891,0.425081,0.0077157,5107
0.5,10,100,0,0.00398493,5107
0.6,10.7713,116.072,0.0514785,0.00278473,5107
0.7,12.3002,151.446,0.151264,0.00210428,5107
0.8,13.3095,177.411,0.266642,0.00121593,5107
0.9,15.4363,238.5,0.221547,0.00102901,5107
