Alpha,Energy,Energy2,Variance,AcceptRatio,ElapsedTimeMS
0.2,164.948,28419,1211.24,1,25726
0.3,153.738,23831.4,195.992,1,25726
0.4,147.965,21928,34.3669,1,25726
0.5,150,22500,0,1,25726
0.6,155.072,24057.4,10.1404,1,25726
0.7,158.849,25278.9,45.8717,1,25726
0.8,169.565,28822.6,70.287,0.999999,25726
0.9,173.784,30406.6,205.752,1,25726
