Alpha,Energy,Energy2,Variance,AcceptRatio, ElapsedTimeMS
0.2,217.193,47974.6,801.922,0.829834,74296
0.3,168.896,30038.5,1512.73,0.793231,74296
0.4,152.614,25785,2493.92,0.761791,74296
0.5,149.963,26255.9,3767.01,0.73482,74296
0.6,148.91,27750.5,5576.45,0.711257,74296
0.7,159.871,33058.3,7499.49,0.689753,74296
0.8,167.74,37295.6,9159.02,0.669803,74296
0.9,179.754,43836.9,11525.3,0.651847,74296
