Alpha,Energy,Energy2,Variance,AcceptRatio, ElapsedTimeMS
0.2,2.21815,6.66817,1.74798,0.8287,2252
0.3,1.72526,3.43094,0.454419,0.790823,2252
0.4,1.54661,2.47181,0.0797936,0.760155,2252
0.5,1.5,2.25,0,0.733644,2252
0.6,1.51764,2.35641,0.0531718,0.709988,2252
0.7,1.57228,2.65848,0.186415,0.687233,2252
0.8,1.65131,3.099,0.372176,0.667356,2252
0.9,1.75115,3.66819,0.601673,0.649764,2252
