Alpha,Energy,Energy2,Variance,AcceptRatio,ElapsedTimeMS
0.2,366.873,134912,316.012,0.999941,107891
0.3,283.141,80237.4,68.3688,0.999888,107891
0.4,255.951,65525,13.913,0.999828,107891
0.5,250,62500,0,0.999776,107891
0.6,254.274,64662,6.69569,0.99969,107891
0.7,263.936,69686.6,24.5075,0.999633,107891
0.8,279.016,77907.4,57.5136,0.999532,107891
0.9,293.521,86247.9,93.3946,0.99944,107891
