Alpha,Energy,Energy2,Variance,AcceptRatio,ElapsedTimeMS
0.2,2.18624,6.46178,1.68212,0.996224,5593
0.3,1.70305,3.32986,0.429493,0.99308,5593
0.4,1.53939,2.4464,0.0766936,0.989491,5593
0.5,1.5,2.25,-2.22045e-14,0.985263,5593
0.6,1.5235,2.37203,0.0509712,0.980754,5593
0.7,1.58377,2.68624,0.177902,0.975744,5593
0.8,1.66605,3.13605,0.360323,0.970417,5593
0.9,1.76562,3.70086,0.583458,0.964978,5593
