Alpha,Energy,Energy2,Variance,AcceptRatio,ElapsedTimeMS
0.2,21.77,495.765,21.8303,0.99625,12377
0.3,17.0137,306.414,16.9493,0.993212,12377
0.4,15.4591,260.886,21.9026,0.989619,12377
0.5,14.9645,258.729,34.7921,0.985351,12377
0.6,15.2597,281.583,48.7241,0.980985,12377
0.7,15.8397,319.523,68.6271,0.976142,12377
0.8,16.653,367.505,90.1819,0.970785,12377
0.9,17.6504,427.285,115.748,0.965199,12377
