Alpha,Energy,Energy2,Variance,AcceptRatio, ElapsedTimeMS
0.2,14.5378,222.558,11.2105,0.864428,3511
0.3,11.3366,131.382,2.86408,0.834325,3511
0.4,10.259,105.748,0.500837,0.808714,3511
0.5,10,100,0,0.787248,3511
0.6,10.1662,103.682,0.329592,0.76767,3511
0.7,10.5586,112.682,1.19753,0.749921,3511
0.8,11.1056,125.724,2.39021,0.733518,3511
0.9,11.7542,142.024,3.86183,0.718515,3511
